Open,High,Low,Close,Adj Close,Volume,Date,CompanyName
103.330002,104.190002,102.379997,103.739998,103.739998,1191800.0,2017-07-10T00:00:00,ADSK
103.470001,104.730003,102.980003,104.300003,104.300003,1461700.0,2017-07-11T00:00:00,ADSK
105.610001,107.080002,104.760002,106.68,106.68,2621600.0,2017-07-12T00:00:00,ADSK
107.489998,108.5,106.379997,107.07,107.07,1428000.0,2017-07-13T00:00:00,ADSK
107.459999,108.910004,107.010002,108.739998,108.739998,1480600.0,2017-07-14T00:00:00,ADSK
108.900002,109.0,106.559998,106.940002,106.940002,1180700.0,2017-07-17T00:00:00,ADSK
106.669998,107.849998,106.230003,107.699997,107.699997,865700.0,2017-07-18T00:00:00,ADSK
108.5,110.5,108.470001,110.25,110.25,2044400.0,2017-07-19T00:00:00,ADSK
109.720001,110.5,108.879997,109.910004,109.910004,1270900.0,2017-07-20T00:00:00,ADSK
109.410004,110.540001,109.080002,109.75,109.75,1116400.0,2017-07-21T00:00:00,ADSK
109.589996,110.889999,109.339996,110.809998,110.809998,1953400.0,2017-07-24T00:00:00,ADSK
110.910004,112.400002,110.199997,112.260002,112.260002,1342500.0,2017-07-25T00:00:00,ADSK
112.5,114.099998,112.410004,114.080002,114.080002,1891200.0,2017-07-26T00:00:00,ADSK
114.970001,115.25,109.32,111.519997,111.519997,2362400.0,2017-07-27T00:00:00,ADSK
110.599998,112.279999,110.330002,111.5,111.5,946200.0,2017-07-28T00:00:00,ADSK
111.650002,112.32,109.779999,110.790001,110.790001,1393800.0,2017-07-31T00:00:00,ADSK
111.269997,112.589996,111.099998,111.379997,111.379997,1315600.0,2017-08-01T00:00:00,ADSK
111.080002,111.379997,107.279999,109.129997,109.129997,1757100.0,2017-08-02T00:00:00,ADSK
107.949997,108.5,105.599998,107.879997,107.879997,2255600.0,2017-08-03T00:00:00,ADSK
108.349998,109.040001,107.559998,108.389999,108.389999,1490900.0,2017-08-04T00:00:00,ADSK
108.669998,111.0,108.400002,109.82,109.82,1493100.0,2017-08-07T00:00:00,ADSK
109.379997,110.269997,108.0,108.349998,108.349998,1224200.0,2017-08-08T00:00:00,ADSK
107.690002,107.959999,106.540001,107.449997,107.449997,1151400.0,2017-08-09T00:00:00,ADSK
106.559998,107.540001,104.769997,104.980003,104.980003,1878300.0,2017-08-10T00:00:00,ADSK
105.75,108.760002,105.099998,108.010002,108.010002,1461200.0,2017-08-11T00:00:00,ADSK
109.199997,110.0,108.010002,108.900002,108.900002,1637900.0,2017-08-14T00:00:00,ADSK
109.019997,110.099998,108.120003,109.800003,109.800003,1263300.0,2017-08-15T00:00:00,ADSK
110.360001,110.93,109.360001,110.489998,110.489998,1320500.0,2017-08-16T00:00:00,ADSK
110.07,110.82,107.730003,107.889999,107.889999,1738700.0,2017-08-17T00:00:00,ADSK
107.860001,110.099998,107.190002,108.559998,108.559998,1164300.0,2017-08-18T00:00:00,ADSK
108.370003,110.300003,108.370003,109.75,109.75,1279200.0,2017-08-21T00:00:00,ADSK
110.309998,112.239998,109.769997,111.010002,111.010002,1708500.0,2017-08-22T00:00:00,ADSK
110.910004,111.339996,110.050003,110.650002,110.650002,1636200.0,2017-08-23T00:00:00,ADSK
110.580002,111.25,109.040001,110.610001,110.610001,3128400.0,2017-08-24T00:00:00,ADSK
115.0,119.730003,113.540001,114.970001,114.970001,7121000.0,2017-08-25T00:00:00,ADSK
115.059998,115.139999,110.010002,111.480003,111.480003,3618400.0,2017-08-28T00:00:00,ADSK
109.650002,111.900002,109.25,111.269997,111.269997,1858600.0,2017-08-29T00:00:00,ADSK
111.269997,113.669998,110.610001,113.290001,113.290001,1458900.0,2017-08-30T00:00:00,ADSK
113.629997,114.699997,112.82,114.459999,114.459999,1467200.0,2017-08-31T00:00:00,ADSK
114.629997,115.620003,113.650002,113.709999,113.709999,1566400.0,2017-09-01T00:00:00,ADSK
113.459999,114.809998,112.519997,113.769997,113.769997,3092900.0,2017-09-05T00:00:00,ADSK
114.400002,114.779999,112.650002,113.790001,113.790001,2339900.0,2017-09-06T00:00:00,ADSK
114.139999,114.470001,113.190002,114.050003,114.050003,1731400.0,2017-09-07T00:00:00,ADSK
114.169998,115.720001,114.099998,114.440002,114.440002,2656400.0,2017-09-08T00:00:00,ADSK
112.980003,117.129997,112.220001,116.480003,116.480003,2294700.0,2017-09-11T00:00:00,ADSK
116.349998,116.989998,114.980003,116.160004,116.160004,1607000.0,2017-09-12T00:00:00,ADSK
116.040001,116.5,115.25,116.18,116.18,1449900.0,2017-09-13T00:00:00,ADSK
115.620003,116.139999,114.5,115.470001,115.470001,1649700.0,2017-09-14T00:00:00,ADSK
115.620003,115.620003,113.879997,114.129997,114.129997,6232600.0,2017-09-15T00:00:00,ADSK
113.739998,114.660004,112.870003,113.839996,113.839996,2030000.0,2017-09-18T00:00:00,ADSK
113.769997,114.059998,112.970001,113.080002,113.080002,1954800.0,2017-09-19T00:00:00,ADSK
113.07,113.339996,111.349998,112.730003,112.730003,1782700.0,2017-09-20T00:00:00,ADSK
112.82,113.0,111.370003,112.290001,112.290001,1154500.0,2017-09-21T00:00:00,ADSK
111.68,112.82,111.639999,111.779999,111.779999,1085000.0,2017-09-22T00:00:00,ADSK
111.669998,111.830002,108.650002,109.82,109.82,2026000.0,2017-09-25T00:00:00,ADSK
110.589996,111.379997,108.830002,110.610001,110.610001,1590500.0,2017-09-26T00:00:00,ADSK
110.209999,113.470001,110.209999,111.959999,111.959999,1731400.0,2017-09-27T00:00:00,ADSK
111.400002,111.959999,110.519997,111.449997,111.449997,1358300.0,2017-09-28T00:00:00,ADSK
111.25,112.760002,111.0,112.260002,112.260002,2033100.0,2017-09-29T00:00:00,ADSK
